,Lat,Long,,,,Lat,,,,long
Dr. Ritika Diagnostic Solutions,"11°40'01.3""N ","92°44'24.7""E",11,40,1.3,11.66702778,92,44,24.7,92.74019444
Dr. Ritika Diagnostic Solutions,11.667036,92.740418,,,,11.667036,,,,92.740418
