Tehsil,Coordinates,Coordinates,Population
Pudumadurai,12.753741,92.798369,404
Rampur,12.859356,92.919167,898
Swadesh Nagar,12.660291,92.888589,956
Tugapur,12.839734,92.853036,1872
Webi,12.836512,92.890447,654
Amkunj,12.512016,92.965815,548
Bejoygarh,12.240256,92.797356,299
Bharatpur,12.487436,92.885913,101
Cutbert Bay,12.675725,92.952791,238
Desharatpur,12.499344,92.937141,766
Dharmapur,12.645431,92.909456,388
Kadamtala,12.346381,92.775406,3008
Kanchangarh,12.185224,92.774614,243
Kaushalyanagar,12.539909,92.823872,1215
Island long,12.396421,92.934997,1028
Mithila,12.503008,92.90345,692
Nayagarh,12.148733,92.80624,330
Nilambur,12.175987,92.787964,1498
Nimbutala,12.500108,92.961868,3063
Panchawati,12.589165,92.950356,952
Parnasala,12.516703,92.911237,1004
Rampur,12.859247,92.919281,1349
Rangat,12.507382,92.914186,3784
Sabari,12.480666,92.902904,1018
Shivapuram,12.623466,92.925195,878
Shyamkund,12.496857,92.856804,294
Sundergarh,12.181076,92.806894,764
Uttara,12.345101,92.798937,1164
Arong,9.16241,92.749545,1194
Big Lapati,9.231567,92.789332,1098
Chuckchucha,9.216197,92.810429,1021
Iaf Camp,9.154379,92.824594,731
Kakana,9.158999,92.800647,841
Kimois,9.153625,92.762054,381
Kinmai,9.211917,92.777699,574
Kinyuka,9.207673,92.814417,1120
Malacca,9.171523,92.821102,1637
Mus,9.241027,92.782581,1553
Perka,9.177474,92.817056,2527
Sawai,9.211576,92.727898,1247
Small Lapati,9.214048,92.785523,938
Tamaloo,9.193229,92.8163,1515
Tapoiming,9.223179,92.797082,941
Teetop,9.208275,92.739514,522
Campbell Bay,7.00756,93.90479,5736
Govinda Nagar,12.030113,92.9957,676
Joginder Nagar,7.120482,93.783365,693
Laxmi Nagar,28.639753,77.284686,230
Pulloullo Puloulo,7.300853,93.688425,81
Pulopanja,7.367918,93.744493,75
Alhiat,7.120844,93.784095,190
Aloorang,8.339425,93.106398,271
Bengali,8.319844,93.114243,354
Berainak Badnak,8.119794,93.515122,188
Champin,8.023713,93.548804,143
Changup,8.029014,93.495311,146
Chota Inak,11.739925,92.658659,237
Chukmachi,8.232691,93.165729,237
Daring,8.102524,93.500325,115
Enam,7.120823,93.784116,223
Kakana,9.159097,92.800993,270
Kalasi,8.288555,93.108799,335
Minyuk,8.26377,93.128368,305
Payuha,8.005858,93.505784,24
Pilpilow,8.186961,93.489084,282
Raihion,8.455171,93.045176,276
Ramzoo,8.121299,93.478908,98
Upper Katchal,7.967536,93.359031,217
Vikas Nagar,8.119701,93.513115,235
